Lat,Lon,Z
47.68449747,11.99352268,811.0930176
47.68448928,11.99351578,810.3600464
47.68448109,11.99350887,810.3600464
47.6844729,11.99350197,809.5980225
47.68446471,11.99349507,808.8930664
47.68445652,11.99348817,808.2990112
47.68444832,11.99348127,807.9390259
47.68444013,11.99347437,807.4750366
47.68443194,11.99346747,807.1760254
47.68442375,11.99346057,805.9740601
47.68441556,11.99345367,805.2780151
47.68440737,11.99344677,803.8960571
47.68439918,11.99343987,803.7360229
47.68439098,11.99343297,803.8290405
47.68438279,11.99342607,803.0840454
47.6843746,11.99341917,803.2130127
47.68436641,11.99341227,803.2740479
47.68435822,11.99340537,803.19104
47.68435003,11.99339847,803.2200317
47.68434183,11.99339156,802.9900513
47.68433364,11.99338466,802.6050415
47.68432545,11.99337776,802.0050659
47.68431726,11.99337086,801.4210205
47.68430907,11.99336396,800.677063
47.68430088,11.99335706,799.9750366
47.68429268,11.99335016,799.2300415
47.68428449,11.99334326,798.8010254
47.6842763,11.99333636,798.0460205
47.68426811,11.99332946,797.6370239
47.68425992,11.99332256,797.2590332
47.68425173,11.99331566,796.9390259
47.68424353,11.99330876,796.9390259
47.68423462,11.9932992,796.5510254
47.6842257,11.99328965,795.5690308
47.68421678,11.9932801,795.2580566
47.68420787,11.99327055,794.9280396
47.68419895,11.99326099,794.9630127
47.68419003,11.99325144,795.0140381
47.68418112,11.99324189,794.69104
47.6841722,11.99323233,794.5800171
47.68416328,11.99322278,794.3900146
47.68415437,11.99321323,794.1300659
47.68414545,11.99320367,793.8760376
47.68413653,11.99319412,793.5570679
47.68412762,11.99318457,793.3410645
47.6841187,11.99317502,792.9090576
47.68410978,11.99316546,792.5350342
47.68410109,11.99315606,792.375061
47.68409261,11.9931468,792.0580444
47.68408413,11.99313754,791.7380371
47.68407566,11.99312828,791.5670166
47.68406718,11.99311902,791.2230225
47.6840587,11.99310976,790.953064
47.68405022,11.9931005,790.8190308
47.68404175,11.99309124,790.4730225
47.68403379,11.99308404,790.4730225
47.68402562,11.9930772,790.1710205
47.68401586,11.99306986,790.0930176
47.68400639,11.99306331,789.6730347
47.68399692,11.99305677,789.56604
47.68398745,11.99305023,789.3220215
47.68397798,11.99304369,789.2210083
47.68396851,11.99303714,789.0670166
47.68395914,11.99303074,789.000061
47.68394994,11.99302456,788.8770142
47.68394074,11.99301838,788.8320313
47.68393154,11.9930122,788.8240356
47.68392234,11.99300601,788.7130127
47.68391314,11.99299983,788.6760254
47.68390452,11.99299438,788.5450439
47.68389568,11.99299089,788.4720459
47.68388684,11.99298739,788.4440308
47.68387799,11.99298389,788.5370483
47.68386915,11.99298039,788.2590332
47.68385964,11.99297706,788.4760132
47.68384917,11.99297356,788.5300293
47.6838387,11.99297006,788.3520508
47.68382823,11.99296657,788.1620483
47.68381776,11.99296307,787.6000366
47.68380728,11.99295957,787.2490234
47.68379681,11.99295608,787.1370239
47.68378634,11.99295258,787.0370483
47.68377587,11.99294908,786.9560547
47.68376539,11.99294559,786.559021
47.68375633,11.99294347,786.5730591
47.68374594,11.99294453,786.5480347
47.68373555,11.99294559,786.4160156
47.68372516,11.99294665,786.6210327
47.68371477,11.99294771,786.6100464
47.68370438,11.99294877,786.5580444
47.68369399,11.99294983,786.2780151
47.68368072,11.99295125,786.144043
47.68366746,11.99295267,785.8870239
47.6836542,11.99295409,785.7710571
47.68364093,11.99295551,785.9090576
47.68362767,11.99295693,785.7950439
47.6836144,11.99295835,785.8260498
47.68360114,11.99295977,785.6050415
47.68358787,11.99296119,785.53302
47.68357461,11.99296261,785.427063
